"Indicator","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bhutan","Spirits","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Syrian Arab Republic","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Costa Rica","Wine","4.7","4.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Swaziland","Wine","0.8","0.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belgium","Beer","49.2","49.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Lucia","Spirits","56.1","56.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Tajikistan","Spirits","88.7","88.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Portugal","Wine","55.5","55.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cambodia","Wine","0.8","0.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Guatemala","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Djibouti","Beer","23.2","23.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Monaco","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Egypt","Wine","5.4","5.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Greece","Beer","28.1","28.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Peru","Spirits","47.1","47.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ireland","Wine","26.1","26.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bolivia (Plurinational State of)","Spirits","19.3","19.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Uruguay","Beer","30.6","30.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Croatia","Beer","39.5","39.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Trinidad and Tobago","Wine","2.0","2.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Madagascar","Beer","56.0","56.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Kiribati","Wine","2.2","2.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Switzerland","Other alcoholic beverages","1.2","1.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cook Islands","Wine","22.6","22.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Botswana","Other alcoholic beverages","20.7","20.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Serbia","Wine","23.9","23.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cote d'Ivoire","Spirits","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Equatorial Guinea","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Republic of Moldova","Wine","5.1","5.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bulgaria","Beer","39.3","39.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Gambia","Beer","5.6","5.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Grenada","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Algeria","Wine","35.5","35.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkey","Beer","63.6","63.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Sudan","Other alcoholic beverages","78.5","78.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ireland","Other alcoholic beverages","7.1","7.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Marshall Islands","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Niue","Spirits","51.3","51.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Lithuania","Wine","7.8","7.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Mexico","Beer","75.7","75.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovenia","Spirits","8.6","8.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Bahrain","Spirits","57.0","57.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Comoros","Spirits","54.6","54.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea-Bissau","Wine","14.9","14.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tuvalu","Spirits","74.5","74.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Brunei Darussalam","Other alcoholic beverages","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ghana","Wine","9.7","9.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Nauru","Spirits","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Sweden","Wine","46.6","46.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burundi","Beer","24.5","24.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Gabon","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Cuba","Spirits","58.9","58.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Kuwait","Beer","58.1","58.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Russian Federation","Wine","11.4","11.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Finland","Beer","46.0","46.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovenia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ukraine","Other alcoholic beverages","2.6","2.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritius","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","China","Beer","27.8","27.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Saudi Arabia","Wine","1.9","1.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Niger","Beer","46.0","46.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cabo Verde","Spirits","25.4","25.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Argentina","Spirits","5.5","5.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Portugal","Beer","30.8","30.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Niue","Wine","1.7","1.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Egypt","Other alcoholic beverages","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Trinidad and Tobago","Spirits","43.8","43.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominica","Wine","7.1","7.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Kitts and Nevis","Beer","44.0","44.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Qatar","Wine","13.9","13.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Cook Islands","Spirits","77.4","77.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cabo Verde","Beer","63.0","63.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","India","Spirits","93.1","93.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Trinidad and Tobago","Beer","54.0","54.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bulgaria","Wine","16.5","16.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mali","Other alcoholic beverages","83.1","83.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Ecuador","Spirits","31.5","31.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Serbia","Beer","51.5","51.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Qatar","Spirits","84.6","84.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Somalia","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Libya","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Mexico","Wine","1.5","1.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Singapore","Other alcoholic beverages","1.7","1.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Senegal","Spirits","3.6","3.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Kenya","Spirits","21.6","21.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Democratic Republic of the Congo","Beer","24.0","24.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iraq","Beer","76.1","76.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Rwanda","Beer","11.1","11.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Fiji","Wine","0.9","0.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Chile","Wine","40.7","40.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Liberia","Spirits","88.1","88.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Canada","Beer","51.2","51.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Qatar","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Iceland","Spirits","16.5","16.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea-Bissau","Spirits","22.4","22.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Democratic Republic of the Congo","Wine","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Vincent and the Grenadines","Other alcoholic beverages","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Senegal","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkmenistan","Spirits","58.4","58.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Equatorial Guinea","Wine","72.2","72.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","United Arab Emirates","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Libya","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tonga","Wine","7.6","7.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Latvia","Wine","10.7","10.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Mexico","Other alcoholic beverages","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Uruguay","Spirits","9.5","9.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Congo","Wine","9.8","9.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Georgia","Beer","17.0","17.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Nigeria","Wine","0.4","0.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Israel","Beer","44.0","44.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","France","Wine","56.4","56.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Central African Republic","Beer","16.2","16.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Belarus","Spirits","46.6","46.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Colombia","Wine","1.1","1.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Armenia","Beer","9.7","9.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Djibouti","Wine","5.3","5.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritania","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Indonesia","Beer","84.5","84.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Niger","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Nepal","Spirits","51.4","51.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Uganda","Spirits","1.9","1.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Luxembourg","Spirits","21.0","21.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Portugal","Other alcoholic beverages","2.8","2.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Cyprus","Spirits","33.7","33.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Togo","Beer","48.9","48.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Brazil","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Seychelles","Wine","22.2","22.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Monaco","Other alcoholic beverages","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Nepal","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Colombia","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","South Africa","Wine","17.8","17.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Paraguay","Beer","51.1","51.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Lebanon","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Slovakia","Other alcoholic beverages","5.5","5.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Armenia","Spirits","84.9","84.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Syrian Arab Republic","Wine","27.9","27.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkmenistan","Beer","15.4","15.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritius","Spirits","21.3","21.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cameroon","Beer","44.4","44.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea","Spirits","3.7","3.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Yemen","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Swaziland","Spirits","0.7","0.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cabo Verde","Wine","7.3","7.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Thailand","Spirits","72.6","72.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Australia","Spirits","12.5","12.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Myanmar","Spirits","11.8","11.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Vanuatu","Wine","22.8","22.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Cyprus","Wine","24.7","24.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Oman","Wine","3.3","3.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Dominica","Beer","13.7","13.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Hungary","Beer","36.3","36.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","New Zealand","Spirits","15.2","15.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Japan","Other alcoholic beverages","24.7","24.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Barbados","Wine","10.2","10.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Italy","Beer","23.0","23.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Canada","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Afghanistan","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ethiopia","Beer","49.7","49.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","New Zealand","Beer","38.2","38.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sierra Leone","Beer","6.4","6.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","San Marino","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Brunei Darussalam","Spirits","7.2","7.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Palau","Beer","77.7","77.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kazakhstan","Spirits","65.1","65.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Azerbaijan","Wine","7.6","7.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Russian Federation","Beer","37.6","37.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Papua New Guinea","Wine","0.9","0.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Brazil","Wine","4.0","4.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Benin","Wine","21.7","21.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Hungary","Spirits","34.3","34.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Lesotho","Spirits","18.9","18.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Madagascar","Spirits","34.5","34.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bhutan","Beer","100.0","100.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sierra Leone","Wine","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Suriname","Beer","40.0","40.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Tajikistan","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Niger","Spirits","40.7","40.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Netherlands","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Republic of Moldova","Beer","30.4","30.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Azerbaijan","Spirits","63.3","63.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cote d'Ivoire","Wine","3.0","3.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Latvia","Spirits","37.0","37.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Sudan","Spirits","13.5","13.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cameroon","Wine","1.2","1.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Guinea","Other alcoholic beverages","1.1","1.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Gabon","Wine","11.9","11.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Czech Republic","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","South Africa","Beer","48.1","48.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Bolivia (Plurinational State of)","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Lithuania","Beer","46.5","46.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Peru","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Madagascar","Wine","9.5","9.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Burkina Faso","Spirits","3.1","3.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Italy","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Turkey","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Ireland","Beer","48.1","48.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Hungary","Wine","29.4","29.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Jordan","Beer","22.4","22.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Kyrgyzstan","Other alcoholic beverages","0.3","0.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Brazil","Beer","59.6","59.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Vincent and the Grenadines","Wine","3.0","3.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Sao Tome and Principe","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mauritius","Wine","12.3","12.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Liberia","Wine","1.0","1.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Chad","Wine","3.4","3.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Japan","Spirits","52.0","52.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Canada","Spirits","26.8","26.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Cameroon","Other alcoholic beverages","54.2","54.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Bangladesh","Wine","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Tonga","Spirits","34.3","34.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Antigua and Barbuda","Spirits","47.0","47.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Micronesia (Federated States of)","Beer","47.0","47.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Niue","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Afghanistan","Spirits","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Nicaragua","Wine","0.5","0.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Bulgaria","Other alcoholic beverages","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Thailand","Other alcoholic beverages","0.0","0.00000","","",""
